Accordion,Accordion
"Open on Load?","Open on Load?"
Advanced,Advanced
"CSS Classes","CSS Classes"
"Space separated list of classes.","Space separated list of classes."
Alignment,Alignment
Left,Left
Center,Center
Right,Right
"Advanced Slider","Advanced Slider"
Settings,Settings
Autoplay,Autoplay
"Do you want the slider to rotate on its own","Do you want the slider to rotate on its own"
No,No
Yes,Yes
"Autoplay Speed","Autoplay Speed"
"Speed in milliseconds (5000 = 5 seconds)","Speed in milliseconds (5000 = 5 seconds)"
Fade,Fade
"The fade only works if you are showing one slide at a time","The fade only works if you are showing one slide at a time"
"Is Infinite","Is Infinite"
"Show arrows","Show arrows"
"Show dots","Show dots"
"see http://kenwheeler.github.io/slick/ for more information on passing data to the slider","see http://kenwheeler.github.io/slick/ for more information on passing data to the slider"
Anchor,Anchor
Identifier,Identifier
Block,Block
Edit,Edit
"Template Information","Template Information"
Name,Name
"Template Preview","Template Preview"
"Template Manager","Template Manager"
Button,Button
Buttons,Buttons
Code,Code
Appearance,Appearance
Width,Width
"1/6","1/6"
"1/3","1/3"
"1/2","1/2"
"2/3","2/3"
"5/6","5/6"
"1","1"
"Top Aligned","Top Aligned"
Centered,Centered
"Bottom Aligned","Bottom Aligned"
"Minimum Height","Minimum Height"
Background,Background
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Background Image","Background Image"
"Background Position","Background Position"
"Background Size","Background Size"
Auto,Auto
Cover,Cover
Contain,Contain
"Background Repeat","Background Repeat"
"Background Attachment","Background Attachment"
"Scroll","Scroll"
"Fixed","Fixed"
"Margins and Padding","Margins and Padding"
Divider,Divider
"Line Color","Line Color"
"Example: #FF5733","Example: #FF5733"
"Line Thickness","Line Thickness"
"Line Width","Line Width"
"Example: 50px or 100%","Example: 50px or 100%"
Driver,Driver
Images,Images
Image,Image
"Mobile Image","Mobile Image"
Link,Link
"Link Text","Link Text"
"Link URL","Link URL"
"Open in New Window?","Open in New Window?"
Seo,Seo
"Alternative Text","Alternative Text"
"Title Tag","Title Tag"
Heading,Heading
"Heading Type","Heading Type"
H2,H2
H3,H3
H4,H4
H5,H5
H6,H6
Header,Header
Title,Title
Code,Code
HTML,HTML
Extra,Extra
"Has Lightbox?","Has Lightbox?"
"Show Caption","Show Caption"
Map,Map
"You can move the pin by double clicking or dragging it where you want. To alter the zoom please use the controls.","You can move the pin by double clicking or dragging it where you want. To alter the zoom please use the controls."
"Example: 50px or 100%","Example: 50px or 100%"
Height,Height
Newsletter,Newsletter
"Button Text","Button Text"
Label,Label
Placeholder,Placeholder
Products,Products
"Product Display","Product Display"
Grid,Grid
List,List
"Product SKU","Product SKU"
"Product List","Product List"
Category,Category
Display,Display
"Product Count","Product Count"
Row,Row
"Parallax Background","Parallax Background"
"Enable Parallax Background","Enable Parallax Background"
"Parallax Speed","Parallax Speed"
"Store View","Store View"
"Text Color","Text Color"
"Default alignment will cause the element to inherit it's alignment from the parent elements.","Default alignment will cause the element to inherit it's alignment from the parent elements."
Default,Default
Border,Border
None,None
Dotted,Dotted
Dashed,Dashed
Solid,Solid
Double,Double
Groove,Groove
Ridge,Ridge
Inset,Inset
Onset,Onset
"Border Color","Border Color"
"Border Size","Border Size"
"Border Radius","Border Radius"
"Browse the catalog...","Browse the catalog..."
"Segmented Block","Segmented Block"
"Segmented Block Form","Segmented Block Form"
Slide,Slide
Content,Content
"Has Overlay Background","Has Overlay Background"
"This will add a semi transparent overlay behind the slide content","This will add a semi transparent overlay behind the slide content"
Slider,Slider
"Slider Form","Slider Form"
Tabs,Tabs
Text,Text
Video,Video
"Video Embed URL","Video Embed URL"
"Supports YouTube &amp; Vimeo.","Supports YouTube &amp; Vimeo."
"Please enter the full embed URL for the video e.g. https://www.youtube.com/embed/slOtnjsbff0. You can retrieve this URL via the ""Share"" option under the video.","Please enter the full embed URL for the video e.g. https://www.youtube.com/embed/slOtnjsbff0. You can retrieve this URL via the ""Share"" option under the video."
General,General
Media,Media
Interactive,Interactive
Magento,Magento
Other,Other
Column,Column
Search,Search
Position,Position
Actions,Actions
Snippet,Snippet
Slider Advanced Settings,Slider Advanced Settings
"Full Width","Full Width"

