Close,Close
Reset,Reset
Save,Save
"Are You Sure You Want to Turn Off Page Builder?","Are You Sure You Want to Turn Off Page Builder?"
"Product data may be lost","Product data may be lost"
"Changing the Input Type may result in product data loss. Proceed with caution.","Changing the Input Type may result in product data loss. Proceed with caution."
label,label
"Entity with id ""%1"" does not exist.","Entity with id ""%1"" does not exist."
"block_id is missing.","block_id is missing."
"Block with id %1 does not exist.","Block with id %1 does not exist."
"product_id is missing.","product_id is missing."
"Product with id %1 does not exist.","Product with id %1 does not exist."
"Content type can not be migrated with out parent.","Content type can not be migrated with out parent."
Page,Page
"Page Name","Page Name"
"Page with ID: %s doesn't exist","Page with ID: %s doesn't exist"
"ID: %s","ID: %s"
Condition,Condition
"Photo upload is available in full screen mode","Photo upload is available in full screen mode"
"This will change your Admin and storefront by:","This will change your Admin and storefront by:"
"Removing PageBuilder's advanced content tools","Removing PageBuilder's advanced content tools"
"from their assigned text fields and adding a basic text editor as replacement.","from their assigned text fields and adding a basic text editor as replacement."
"Potentially creating display errors on your storefront","Potentially creating display errors on your storefront"
", due to content reformatting. Also, some content may no longer be editable from within the Admin.",", due to content reformatting. Also, some content may no longer be editable from within the Admin."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
Search:,Search:
Search,Search
"Add Button","Add Button"
"Empty Column","Empty Column"
"Edit Heading Text","Edit Heading Text"
"Drag content types or columns here","Drag content types or columns here"
Collapse,Collapse
Margin,Margin
Padding,Padding
Collapse,Collapse
"Allowed file types","Allowed file types"
"Drag image here","Drag image here"
"Maximum file size","Maximum file size"
"Select from Gallery","Select from Gallery"
or,or
"Upload Image","Upload Image"
"Upload New Image","Upload New Image"
"Template Manager","Template Manager"
"Please hold! we're just retrieving your content...","Please hold! we're just retrieving your content..."
"Edit with Page Builder","Edit with Page Builder"
"Do not show this again","Do not show this again"
"Drop files here, or click to upload","Drop files here, or click to upload"
Cancel,Cancel
"Turn Off","Turn Off"
"Change Input Type","Change Input Type"
"Page Builder","Page Builder"
Default,Default
Left,Left
Center,Center
Right,Right
Poster,Poster
"Collage Left","Collage Left"
"Collage Center","Collage Center"
"Collage Right","Collage Right"
"Full Height","Full Height"
"Top Aligned","Top Aligned"
Centered,Centered
"Bottom Aligned","Bottom Aligned"
"Full Width Image","Full Width Image"
Grid,Grid
"Advanced Content Tools","Advanced Content Tools"
"Enable Page Builder","Enable Page Builder"
"Includes advanced tools to design page layouts, add Magento content (Product and Category data, CMS content and Blocks), and format text.<br /><br />For Product Attributes — Page Builder can be selected as the “input type” to design layouts and create content.","Includes advanced tools to design page layouts, add Magento content (Product and Category data, CMS content and Blocks), and format text.<br /><br />For Product Attributes — Page Builder can be selected as the “input type” to design layouts and create content."
"Enable Page Builder Content Preview","Enable Page Builder Content Preview"
"Preview Page Builder content on product and category editing pages. Setting to ""No"" can improve performance in case several attributes are editable by Page Builder.","Preview Page Builder content on product and category editing pages. Setting to ""No"" can improve performance in case several attributes are editable by Page Builder."
Appearance,Appearance
Title,Title
Content,Content
"Open on Load?","Open on Load?"
Actions,Actions
Identifier,Identifier
Banner,Banner
"Minimum Height","Minimum Height"
